"ID","DESCRIZIONE","DATAINIZIOVALIDITA","DATAFINEVALIDITA","ORDINAMENTO"
"1","Comunione dei beni","2000-01-01 00:00:00.0","9999-12-31 00:00:00.0","1"
"2","Separazione dei beni","2000-01-01 00:00:00.0","9999-12-31 00:00:00.0","2"
"3","Altra legge applicabile","2000-01-01 00:00:00.0","9999-12-31 00:00:00.0","3"
