"ID","DESCRIZIONE","DATAINIZIOVALIDITA","DATAFINEVALIDITA","ORDINAMENTO"
"0","INTERNAZIONALE","2000-01-01 00:00:00.0","9999-12-31 00:00:00.0","1"
"1","NAZIONALE","2000-01-01 00:00:00.0","9999-12-31 00:00:00.0","2"
"2","MULTIPLA","2000-01-01 00:00:00.0","9999-12-31 00:00:00.0","3"
