"ID","DESCRIZIONE","DATAINIZIOVALIDITA","DATAFINEVALIDITA","ORDINAMENTO"
"1","cognome unito/a civilmente 1","2000-01-01 00:00:00.0","9999-12-31 00:00:00.0","1"
"2","cognome unito/a civilmente 2","2000-01-01 00:00:00.0","9999-12-31 00:00:00.0","2"
