"ID","DESCRIZIONE","DATAINIZIOVALIDITA","DATAFINEVALIDITA","ORDINAMENTO"
"2","APERTA","2020-09-23 00:00:00.0","9999-12-31 00:00:00.0","2"
"3","IN LAVORAZIONE","2020-09-23 00:00:00.0","9999-12-31 00:00:00.0","3"
"4","RESPINTA","2020-09-23 00:00:00.0","9999-12-31 00:00:00.0","4"
"5","EVASA","2020-09-23 00:00:00.0","9999-12-31 00:00:00.0","5"
"6","SOSPESA","2020-09-23 00:00:00.0","9999-12-31 00:00:00.0","6"
"7","INTEGRATA","2020-09-23 00:00:00.0","9999-12-31 00:00:00.0","7"
"11","IRRICEVIBILE","2020-09-23 00:00:00.0","9999-12-31 00:00:00.0","11"
