"ID","DESCRIZIONE","DATAINIZIOVALIDITA","DATAFINEVALIDITA","ORDINAMENTO"
"1","in qualità di Sindaco","2000-01-01 00:00:00.0","9999-12-31 00:00:00.0","1"
"2","per delega ricevuta","2000-01-01 00:00:00.0","9999-12-31 00:00:00.0","2"
"3","in sostituzione del Sindaco","2000-01-01 00:00:00.0","9999-12-31 00:00:00.0","3"
