"ID","DESCRIZIONE","DATAINIZIOVALIDITA","DATAFINEVALIDITA","ORDINAMENTO"
"1","la legge 218","2000-01-01 00:00:00.0","9999-12-31 00:00:00.0","1"
"2","il regolamento UE 1103 del 2016","2000-01-01 00:00:00.0","9999-12-31 00:00:00.0","2"
