"ID","DESCRIZIONE","DATAINIZIOVALIDITA","DATAFINEVALIDITA","ORDINAMENTO"
"3","123","2000-01-01 00:00:00.0","9999-12-31 00:00:00.0","3"
"4","124","2000-01-01 00:00:00.0","9999-12-31 00:00:00.0","4"
