"ID","DESCRIZIONE","DATAINIZIOVALIDITA","DATAFINEVALIDITA","ORDINAMENTO"
"1","ITALIANA - PER NASCITA","2025-12-02 20:24:12.0","9999-12-31 00:00:00.0","1"
"2","ITALIANA - ACQUISITA","2025-12-02 20:24:12.0","9999-12-31 00:00:00.0","2"
"3","STRANIERA","2025-12-02 20:24:12.0","9999-12-31 00:00:00.0","3"
"4","NON CONOSCIUTA","2025-12-02 20:24:13.0","9999-12-31 00:00:00.0","4"
