"ID","DESCRIZIONE","DATAINIZIOVALIDITA","DATAFINEVALIDITA","ORDINAMENTO"
"1","anteposto al cognome dell'altra parte","2000-01-01 00:00:00.0","9999-12-31 00:00:00.0","1"
"2","posposto  al cognome dell'altra parte","2000-01-01 00:00:00.0","9999-12-31 00:00:00.0","2"
"3","sostituirlo come cognome unico","2000-01-01 00:00:00.0","9999-12-31 00:00:00.0","3"
