"ID","DESCRIZIONE","DATAINIZIOVALIDITA","DATAFINEVALIDITA","ORDINAMENTO"
"1","materno","2000-01-01 00:00:00.0","9999-12-31 00:00:00.0","1"
"2","paterno","2000-01-01 00:00:00.0","9999-12-31 00:00:00.0","2"
"3","entrambi","2000-01-01 00:00:00.0","9999-12-31 00:00:00.0","3"
