"ID","DESCRIZIONE","DATAINIZIOVALIDITA","DATAFINEVALIDITA","ORDINAMENTO"
"0","Nessun minore","2000-01-01 00:00:00.0","9999-12-31 00:00:00.0","0"
"1","Un minore","2000-01-01 00:00:00.0","9999-12-31 00:00:00.0","1"
"2","Più minori","2000-01-01 00:00:00.0","9999-12-31 00:00:00.0","2"
