"ID","DESCRIZIONE","DATAINIZIOVALIDITA","DATAFINEVALIDITA","ORDINAMENTO"
"1","regime patrimoniale","2000-01-01 00:00:00.0","9999-12-31 00:00:00.0","1"
"2","modifiche e/o omologazione","2000-01-01 00:00:00.0","9999-12-31 00:00:00.0","2"
