"ID","DESCRIZIONE","DATAINIZIOVALIDITA","DATAFINEVALIDITA","ORDINAMENTO"
"1","Ministro di culto","2000-01-01 00:00:00.0","9999-12-31 00:00:00.0","1"
"2","Sposo","2000-01-01 00:00:00.0","9999-12-31 00:00:00.0","2"
"3","Sposa","2000-01-01 00:00:00.0","9999-12-31 00:00:00.0","3"
"4","Entrambi gli sposi","2000-01-01 00:00:00.0","9999-12-31 00:00:00.0","4"
