"ID","DESCRIZIONE","DATAINIZIOVALIDITA","DATAFINEVALIDITA","ORDINAMENTO"
"1","separazione dei beni dichiarata nel matrimonio","2000-01-01 00:00:00.0","9999-12-31 00:00:00.0","1"
"2","altra legge applicabile dichiarata nel matrimonio","2000-01-01 00:00:00.0","9999-12-31 00:00:00.0","2"
