"ID","DESCRIZIONE","DATAINIZIOVALIDITA","DATAFINEVALIDITA","ORDINAMENTO"
"0","Internazionale","2000-01-01 00:00:00.0","9999-12-31 00:00:00.0","0"
"1","Nazionale","2000-01-01 00:00:00.0","9999-12-31 00:00:00.0","1"
