"ID","DESCRIZIONE","DATAINIZIOVALIDITA","DATAFINEVALIDITA","ORDINAMENTO"
"1","omologazione ex art. 163, comma 2","2000-01-01 00:00:00.0","9999-12-31 00:00:00.0","1"
"2","mutazione convenzioni matrimoniali stipulate prima della legge n. 142/1981","2000-01-01 00:00:00.0","9999-12-31 00:00:00.0","2"
