"ID","DESCRIZIONE","DATAINIZIOVALIDITA","DATAFINEVALIDITA","ORDINAMENTO"
"1","(Laurea)","2025-12-02 20:23:16.0","9999-12-31 00:00:00.0","1"
"2","(Diploma universitario)","2025-12-02 20:23:16.0","9999-12-31 00:00:00.0","2"
"3","(Diploma di scuola media superiore)","2025-12-02 20:23:16.0","9999-12-31 00:00:00.0","3"
"4","(Licenza di scuola media inferiorei)","2025-12-02 20:23:16.0","9999-12-31 00:00:00.0","4"
"5","(Licenza elementare o nessun titolo)","2025-12-02 20:23:17.0","9999-12-31 00:00:00.0","5"
