"ID","DESCRIZIONE","DATAINIZIOVALIDITA","DATAFINEVALIDITA","ORDINAMENTO"
"1","Nel matrimonio","2025-12-04 11:48:12.0","9999-12-31 00:00:00.0","1"
"2","Fuori dal matrimonio","2025-12-04 11:48:12.0","9999-12-31 00:00:00.0","2"
