"ID","DESCRIZIONE","DATAINIZIOVALIDITA","DATAFINEVALIDITA","ORDINAMENTO"
"2","ESTRATTO PER RIASSUNTO","2020-09-23 00:00:00.0","9999-12-31 00:00:00.0","2"
"3","ESTRATTO INTEGRALE","2020-09-23 00:00:00.0","9999-12-31 00:00:00.0","3"
