"Sezione","Campo","Obbligatorio","Binding Object","Binding Field","Note obbligatorieta' formule"
"Generalità Sposa","Nome","SI","evento.intestatari[1]","nome",""
"Generalità Sposa","Sesso","SI","evento.intestatari[1]","sesso",""
"Generalità Sposa","Data nascita","SI","evento.intestatari[1]","dataNascita",""
"Generalità Sposa","Stato di nascita","SI","evento.intestatari[1]","idStatoNascita",""
"Generalità Sposa","Stato di nascita - Descrizione","SI","evento.intestatari[1]","nomeStatoNascita",""
"Generalità Sposa","Provincia di nascita","NO","evento.intestatari[1]","idProvinciaNascita",""
"Generalità Sposa","Provincia di nascita - Descrizione","NO","evento.intestatari[1]","siglaProvinciaNascita",""
"Generalità Sposa","Comune di nascita","NO","evento.intestatari[1]","idComuneNascita",""
"Generalità Sposa","Comune di nascita - Descrizione","NO","evento.intestatari[1]","nomeComuneNascita",""
"Generalità Sposa","Nazionalita","SI","evento.intestatari[1]","idNazionalita",""
"Generalità Sposa","Nazionalita - Descrizione","SI","evento.intestatari[1]","nazionalita",""
"Generalità Sposa","Stato di residenza","SI","evento.intestatari[1]","idStatoResidenza",""
"Generalità Sposa","Stato di residenza - Descrizione","SI","evento.intestatari[1]","nomeStatoResidenza",""
"Generalità Sposa","Provincia di residenza","NO","evento.intestatari[1]","idProvinciaResidenza",""
"Generalità Sposa","Provincia di residenza - Descrizione","NO","evento.intestatari[1]","siglaProvinciaResidenza",""
"Generalità Sposa","Comune di residenza","NO","evento.intestatari[1]","idComuneResidenza",""
"Generalità Sposa","Comune di residenza - Descrizione","NO","evento.intestatari[1]","nomeComuneResidenza",""
"Generalità Sposa","Indirizzo di residenza","NO","evento.intestatari[1]","indirizzoResidenza",""
"Generalità Sposa","flag dichiarante","SI","evento.intestatari[1]","flagDichiarante",""
"Generalità Sposa","flag comparente","SI","evento.intestatari[1]","flagComparente",""
"Generalità Sposa","flag firmatario","SI","evento.intestatari[1]","flagFirmatario",""
"Pubblicazioni","Provincia","NO","evento.datiEventoMatrimonio.pubblicazione1","idProvincia",""
"Pubblicazioni","Provincia - Descrizione","NO","evento.datiEventoMatrimonio.pubblicazione1","provincia",""
"Pubblicazioni","Comune","NO","evento.datiEventoMatrimonio.pubblicazione1","idComune",""
"Pubblicazioni","Comune - Descrizione","NO","evento.datiEventoMatrimonio.pubblicazione1","comune","54"
"Pubblicazioni","Data Inizio","NO","evento.datiEventoMatrimonio.pubblicazione1","dataInizio","54"
"Pubblicazioni","Data Fine","NO","evento.datiEventoMatrimonio.pubblicazione1","dataFine","54"
"Pubblicazioni altro comune","Riduzione dei termini","NO","evento.datiEventoMatrimonio","riduzioneTerminiPubblicazione",""
"Pubblicazioni altro comune","Provincia Comune","NO","evento.datiEventoMatrimonio.pubblicazione2","idProvincia",""
"Pubblicazioni altro comune","Provincia - Descrizione","NO","evento.datiEventoMatrimonio.pubblicazione2","provincia",""
"Pubblicazioni altro comune","Comune","NO","evento.datiEventoMatrimonio.pubblicazione2","idComune",""
"Pubblicazioni altro comune","Comune - Descrizione","NO","evento.datiEventoMatrimonio.pubblicazione2","comune","54"
"Pubblicazioni altro comune","Data Inizio","NO","evento.datiEventoMatrimonio.pubblicazione2","dataInizio","54"
"Pubblicazioni altro comune","Data Fine","NO","evento.datiEventoMatrimonio.pubblicazione2","dataFine","54"
"Atto di Nascita dello sposo","Id atto","NO","evento.datiEventoMatrimonio.attoNascitaSposo","idAnsc",""
"Atto di Nascita dello sposo","Provincia registrazione","NO","evento.datiEventoMatrimonio.attoNascitaSposo","idProvinciaRegistrazione",""
"Atto di Nascita dello sposo","Provincia registrazione - Descrizione","NO","evento.datiEventoMatrimonio.attoNascitaSposo","siglaProvinciaRegistrazione",""
"Atto di Nascita dello sposo","Comune registrazione","NO","evento.datiEventoMatrimonio.attoNascitaSposo","idComuneRegistrazione",""
"Atto di Nascita dello sposo","Comune registrazione - Descrizione","NO","evento.datiEventoMatrimonio.attoNascitaSposo","nomeComuneRegistrazione",""
"Atto di Nascita dello sposo","Tipo evento","NO","evento.datiEventoMatrimonio.attoNascitaSposo","idtipocontenuto",""
"Atto di Nascita dello sposo","Numero Comunale","NO","evento.datiEventoMatrimonio.attoNascitaSposo","numeroatto",""
"Atto di Nascita dello sposo","Anno atto","NO","evento.datiEventoMatrimonio.attoNascitaSposo","annoAtto",""
"Atto di Nascita dello sposo","Data atto","NO","evento.datiEventoMatrimonio.attoNascitaSposo","dataformazione",""
"Atto di Nascita dello sposo","Tipo registro","NO","evento.datiEventoMatrimonio.attoNascitaSposo","tipologia",""
"Atto di Nascita dello sposo","Parte","NO","evento.datiEventoMatrimonio.attoNascitaSposo","parte",""
"Atto di Nascita dello sposo","Serie","NO","evento.datiEventoMatrimonio.attoNascitaSposo","serie",""
"Autorizzazione - omissioni pubblicazioni","Data formazione documento","NO","evento.datiEventoMatrimonio.sentenzaOmissionePubblicazione","dataTrascrizione","55"
"Autorizzazione - omissioni pubblicazioni","Estremi documento","NO","evento.datiEventoMatrimonio.sentenzaOmissionePubblicazione","estremiDocumento","55"
"Autorizzazione - omissioni pubblicazioni","Nome ente","NO","evento.datiEventoMatrimonio.sentenzaOmissionePubblicazione","nomeEnte",""
"Autorizzazione - omissioni pubblicazioni","Provincia ente","NO","evento.datiEventoMatrimonio.sentenzaOmissionePubblicazione","idProvinciaEnte",""
"Autorizzazione - omissioni pubblicazioni","Provincia ente - Descrizione","NO","evento.datiEventoMatrimonio.sentenzaOmissionePubblicazione","siglaProvinciaEnte","55"
"Autorizzazione - omissioni pubblicazioni","Comune ente","NO","evento.datiEventoMatrimonio.sentenzaOmissionePubblicazione","idComuneEnte",""
"Autorizzazione - omissioni pubblicazioni","Comune ente - Descrizione","NO","evento.datiEventoMatrimonio.sentenzaOmissionePubblicazione","nomeComuneEnte","55"
"Atto di Nascita della sposa","Id atto","NO","evento.datiEventoMatrimonio.attoNascitaSposa","idAnsc",""
"Atto di Nascita della sposa","Provincia registrazione","NO","evento.datiEventoMatrimonio.attoNascitaSposa","idProvinciaRegistrazione",""
"Atto di Nascita della sposa","Provincia registrazione - Descrizione","NO","evento.datiEventoMatrimonio.attoNascitaSposa","siglaProvinciaRegistrazione",""
"Atto di Nascita della sposa","Comune registrazione","NO","evento.datiEventoMatrimonio.attoNascitaSposa","idComuneRegistrazione",""
"Atto di Nascita della sposa","Comune registrazione - Descrizione","NO","evento.datiEventoMatrimonio.attoNascitaSposa","nomeComuneRegistrazione",""
"Atto di Nascita della sposa","Tipo evento","NO","evento.datiEventoMatrimonio.attoNascitaSposa","idtipocontenuto",""
"Atto di Nascita della sposa","Numero Comunale","NO","evento.datiEventoMatrimonio.attoNascitaSposa","numeroatto",""
"Atto di Nascita della sposa","Anno atto","NO","evento.datiEventoMatrimonio.attoNascitaSposa","annoAtto",""
"Atto di Nascita della sposa","Data atto","NO","evento.datiEventoMatrimonio.attoNascitaSposa","dataformazione",""
"Atto di Nascita della sposa","Tipo registro","NO","evento.datiEventoMatrimonio.attoNascitaSposa","tipologia",""
"Atto di Nascita della sposa","Parte","NO","evento.datiEventoMatrimonio.attoNascitaSposa","parte",""
"Atto di Nascita della sposa","Serie","NO","evento.datiEventoMatrimonio.attoNascitaSposa","serie",""
"Opposizione - Sentenza di rigetto","Data formazione documento","NO","evento.datiEventoMatrimonio.provvedimentoRigettoOpposizione","dataTrascrizione","56"
"Opposizione - Sentenza di rigetto","Estremi documento","NO","evento.datiEventoMatrimonio.provvedimentoRigettoOpposizione","estremiDocumento","56"
"Opposizione - Sentenza di rigetto","Nome ente","NO","evento.datiEventoMatrimonio.provvedimentoRigettoOpposizione","nomeEnte","56"
"Opposizione - Sentenza di rigetto","Provincia ente","NO","evento.datiEventoMatrimonio.provvedimentoRigettoOpposizione","idProvinciaEnte",""
"Opposizione - Sentenza di rigetto","Provincia ente - Descrizione","NO","evento.datiEventoMatrimonio.provvedimentoRigettoOpposizione","siglaProvinciaEnte",""
"Opposizione - Sentenza di rigetto","Comune ente","NO","evento.datiEventoMatrimonio.provvedimentoRigettoOpposizione","idComuneEnte",""
"Opposizione - Sentenza di rigetto","Comune ente - Descrizione","NO","evento.datiEventoMatrimonio.provvedimentoRigettoOpposizione","nomeComuneEnte",""
"Opposizione - Estinzione giudizio","Data formazione documento","NO","evento.datiEventoMatrimonio.provvedimentoRigettoOpposizione","dataTrascrizione","56"
"Opposizione - Estinzione giudizio","Estremi documento","NO","evento.datiEventoMatrimonio.provvedimentoRigettoOpposizione","estremiDocumento","56"
"Opposizione - Estinzione giudizio","Nome ente","NO","evento.datiEventoMatrimonio.provvedimentoRigettoOpposizione","nomeEnte","56"
"Opposizione - Estinzione giudizio","Provincia ente","NO","evento.datiEventoMatrimonio.provvedimentoRigettoOpposizione","idProvinciaEnte",""
"Opposizione - Estinzione giudizio","Provincia ente - Descrizione","NO","evento.datiEventoMatrimonio.provvedimentoRigettoOpposizione","siglaProvinciaEnte",""
"Opposizione - Estinzione giudizio","Comune ente","NO","evento.datiEventoMatrimonio.provvedimentoRigettoOpposizione","idComuneEnte",""
"Opposizione - Estinzione giudizio","Comune ente - Descrizione","NO","evento.datiEventoMatrimonio.provvedimentoRigettoOpposizione","nomeComuneEnte",""
"Impedimento - Difetto di età","Data formazione documento","NO","evento.datiEventoMatrimonio.autorizzazioneDifettoEta","dataTrascrizione","57"
"Impedimento - Difetto di età","Estremi documento","NO","evento.datiEventoMatrimonio.autorizzazioneDifettoEta","estremiDocumento","57"
"Impedimento - Difetto di età","Nome ente","NO","evento.datiEventoMatrimonio.autorizzazioneDifettoEta","nomeEnte","57"
"Impedimento - Difetto di età","Provincia ente","NO","evento.datiEventoMatrimonio.autorizzazioneDifettoEta","idProvinciaEnte",""
"Impedimento - Difetto di età","Provincia ente - Descrizione","NO","evento.datiEventoMatrimonio.autorizzazioneDifettoEta","siglaProvinciaEnte",""
"Impedimento - Difetto di età","Comune ente","NO","evento.datiEventoMatrimonio.autorizzazioneDifettoEta","idComuneEnte",""
"Impedimento - Difetto di età","Comune ente - Descrizione","NO","evento.datiEventoMatrimonio.autorizzazioneDifettoEta","nomeComuneEnte",""
"Impedimento - Parentela","Data formazione documento","NO","evento.datiEventoMatrimonio.autorizzazioneParentela","dataTrascrizione","58"
"Impedimento - Parentela","Estremi documento","NO","evento.datiEventoMatrimonio.autorizzazioneParentela","estremiDocumento","58"
"Impedimento - Parentela","Nome ente","NO","evento.datiEventoMatrimonio.autorizzazioneParentela","nomeEnte","58"
"Impedimento - Parentela","Provincia ente","NO","evento.datiEventoMatrimonio.autorizzazioneParentela","idProvinciaEnte",""
"Impedimento - Parentela","Provincia ente - Descrizione","NO","evento.datiEventoMatrimonio.autorizzazioneParentela","siglaProvinciaEnte",""
"Impedimento - Parentela","Comune ente","NO","evento.datiEventoMatrimonio.autorizzazioneParentela","idComuneEnte",""
"Impedimento - Parentela","Comune ente - Descrizione","NO","evento.datiEventoMatrimonio.autorizzazioneParentela","nomeComuneEnte",""
"Impedimento - Divieto temporaneo","Data formazione documento","NO","evento.datiEventoMatrimonio.autorizzazioneDivietoTemporaneo","dataTrascrizione","59"
"Impedimento - Divieto temporaneo","Estremi documento","NO","evento.datiEventoMatrimonio.autorizzazioneDivietoTemporaneo","estremiDocumento","59"
"Impedimento - Divieto temporaneo","Nome ente","NO","evento.datiEventoMatrimonio.autorizzazioneDivietoTemporaneo","nomeEnte","59"
"Impedimento - Divieto temporaneo","Provincia ente","NO","evento.datiEventoMatrimonio.autorizzazioneDivietoTemporaneo","idProvinciaEnte",""
"Impedimento - Divieto temporaneo","Provincia ente - Descrizione","NO","evento.datiEventoMatrimonio.autorizzazioneDivietoTemporaneo","siglaProvinciaEnte",""
"Impedimento - Divieto temporaneo","Comune ente","NO","evento.datiEventoMatrimonio.autorizzazioneDivietoTemporaneo","idComuneEnte",""
"Impedimento - Divieto temporaneo","Comune ente - Descrizione","NO","evento.datiEventoMatrimonio.autorizzazioneDivietoTemporaneo","nomeComuneEnte",""
"Legge regime patrimoniale","Legge regime patrimoniale","NO","evento.datiEventoMatrimonio.regimePatrimoniale","legge","62-bis,184"
"Regime patrimoniale - Atto Notarile","Nome Notaio","NO","evento.datiEventoMatrimonio.regimePatrimoniale","nomeNotaio","184"
"Regime patrimoniale - Atto Notarile","Cognome Notaio","NO","evento.datiEventoMatrimonio.regimePatrimoniale","cognomeNotaio","184"
"Regime patrimoniale - Atto Notarile","Distretto Notarile del Notaio","NO","evento.datiEventoMatrimonio.regimePatrimoniale","distrettoNotarile","184"
"Regime patrimoniale - Atto Notarile","Data atto notarile della scelta del regime patrimoniale","NO","evento.datiEventoMatrimonio.regimePatrimoniale","dataAttoNotarile",""
"Padre Sposo","Cognome","NO","evento.datiEventoMatrimonio.regimePatrimoniale.assistenzaMinori[0].assistente[0]","cognome",""
